Name,SMILES
82,O=C(C)N(O)CCCCCNC(=O)CC(O)(C([O-])=O)CC(=O)NCCCCCN(O)C(=O)C
83,OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
84,OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
85,[O-]C(=O)[C@H](O)CC[NH2+][C@@H](C([O-])=O)CC[NH2+][C@@H](C([O-])=O)CCO
86,OCC/C(C)=C/C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
87,CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
88,OCC\C(C)=C\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCOC(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
89,CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C)CCCN(O)C(=O)/C=C(C)/CCO
90,CC(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(\C)CCO
91,OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C
92,OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(/C)CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
93,OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)C[C@@](O)(C)CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)/C=C(C)/CCO
94,OCC\C(C)=C(C)\C(=O)N(O)CCC[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCN(O)C(=O)/C=C(C)/CCO)C(=O)N[C@H](C(=O)N1)CCCN(O)C(=O)C[C@@](O)(C)CCO
